Start,Peak,Stop,Trough,Max_Envelope_Amp,Duration_ms,Spike Times (s),Cluster IDs,Unique_Cluster_IDs,Sorted_Cluster_IDs
542.8616,542.8712,542.9068,542.8712,7.718279838562012,45.2,"[542.8628, 542.8642666666667, 542.8651333333333, 542.8658, 542.8661, 542.8664666666666, 542.8667333333333, 542.8669, 542.8679333333333, 542.8680333333333, 542.8687333333334, 542.8688333333333, 542.8693, 542.8721333333333, 542.8721666666667, 542.8734666666667, 542.8743333333333, 542.8775666666667, 542.8777333333334, 542.8778666666667, 542.8793, 542.8797333333333, 542.8823, 542.883, 542.8836666666666, 542.8837666666667, 542.884, 542.8848666666667, 542.8852666666667, 542.8853333333333, 542.8858666666666, 542.8860666666667, 542.8861333333333, 542.8862666666666, 542.8896333333333, 542.8898666666666, 542.8909, 542.8915, 542.8925, 542.8930333333333, 542.8966, 542.8970333333333, 542.8976666666666, 542.8988333333333, 542.8996, 542.9008666666666, 542.9010333333333, 542.9017666666666, 542.9021666666666, 542.9029333333333, 542.9039, 542.9045666666667, 542.9060333333333]","[85, 16, 237, 67, 85, 140, 222, 60, 220, 98, 237, 85, 67, 63, 222, 67, 85, 222, 67, 60, 63, 85, 237, 196, 85, 98, 212, 16, 60, 237, 67, 85, 196, 63, 173, 63, 85, 67, 60, 94, 67, 85, 222, 196, 138, 85, 67, 63, 60, 16, 222, 85, 60]","85,16,237,67,140,222,60,220,98,63,196,212,173,94,138","16,60,63,67,85,94,98,138,140,173,196,212,220,222,237"
544.1648,544.174,544.2068,544.174,6.811647891998291,42.0,"[544.1650666666667, 544.1657333333334, 544.1681333333333, 544.17, 544.1705666666667, 544.1715, 544.1722, 544.1760666666667, 544.1774666666666, 544.1781333333333, 544.1782, 544.1845333333333, 544.1854333333333, 544.1857, 544.1858333333333, 544.1858333333333, 544.1865, 544.1891666666667, 544.1922333333333, 544.1925666666667, 544.1926333333333, 544.1949666666667, 544.1954333333333, 544.1965, 544.1983, 544.2002333333334, 544.2006666666666, 544.2023666666666, 544.2053666666667, 544.2056333333334, 544.2061333333334, 544.2064666666666]","[60, 85, 67, 60, 67, 16, 85, 212, 60, 85, 67, 195, 67, 60, 85, 233, 16, 7, 67, 85, 228, 60, 16, 85, 98, 196, 226, 67, 16, 63, 60, 85]","60,85,67,16,212,195,233,7,228,98,196,226,63","7,16,60,63,67,85,98,195,196,212,226,228,233"
544.7392,544.7472,544.7776,544.7472,7.348309516906738,38.4,"[544.7409, 544.7409666666666, 544.7419333333333, 544.7419666666667, 544.7423333333334, 544.7425666666667, 544.7427666666666, 544.7449666666666, 544.7450666666666, 544.7454333333334, 544.747, 544.7482, 544.7487666666667, 544.749, 544.7491, 544.7500333333334, 544.7562666666666, 544.7567333333334, 544.7567666666666, 544.7575666666667, 544.7607333333333, 544.7613333333334, 544.7616666666667, 544.7621, 544.7621666666666, 544.7641333333333, 544.767, 544.7682666666667, 544.7684666666667, 544.7702666666667, 544.7731333333334, 544.7734, 544.7736666666667, 544.7736666666667, 544.7742666666667, 544.7743333333333, 544.7763333333334, 544.7774, 544.7774333333333]","[85, 222, 67, 212, 237, 98, 60, 67, 16, 237, 172, 60, 85, 16, 196, 67, 16, 85, 196, 60, 67, 16, 94, 196, 200, 60, 67, 85, 60, 226, 237, 94, 16, 63, 60, 85, 67, 7, 196]","85,222,67,212,237,98,60,16,172,196,94,200,226,63,7","7,16,60,63,67,85,94,98,172,196,200,212,222,226,237"
546.7416,546.748,546.7696,546.748,2.783432006835937,28.0,"[546.7426, 546.7433666666667, 546.7440666666666, 546.7441333333334, 546.7441333333334, 546.7452, 546.7456666666667, 546.7472, 546.7472666666666, 546.7492333333333, 546.7492666666667, 546.7494, 546.7506666666667, 546.7515, 546.7517, 546.7523666666667, 546.7541666666667, 546.7549666666666, 546.7579666666667, 546.7579666666667, 546.758, 546.7600333333334, 546.7604, 546.7615, 546.7618, 546.7618, 546.7650666666667, 546.7662, 546.7668666666667, 546.7672666666666, 546.7677, 546.7683333333333, 546.7684, 546.7689333333333]","[85, 98, 72, 235, 228, 63, 67, 16, 85, 72, 235, 67, 60, 85, 170, 63, 60, 85, 67, 16, 63, 85, 94, 233, 85, 60, 196, 67, 110, 16, 172, 212, 85, 86]","85,98,72,235,228,63,67,16,60,170,94,233,196,110,172,212,86","16,60,63,67,72,85,86,94,98,110,170,172,196,212,228,233,235"
578.4616,578.466,578.4912,578.466,2.704710006713867,29.6,"[578.4657, 578.4671333333333, 578.4674, 578.4698333333333, 578.4709, 578.4727333333333, 578.4732, 578.4739, 578.4757333333333, 578.4795, 578.4801666666667, 578.4806666666667, 578.4855333333334, 578.4873333333334, 578.4876, 578.4880333333333, 578.4880333333333, 578.4884666666667, 578.4903333333333]","[67, 66, 16, 60, 63, 233, 67, 16, 173, 172, 85, 16, 67, 233, 16, 65, 60, 63, 212]","67,66,16,60,63,233,173,172,85,65,212","16,60,63,65,66,67,85,172,173,212,233"
3132.5632,3132.5776,3132.586,3132.5776,4.755108833312988,22.8,"[3132.566, 3132.5675666666666, 3132.5697, 3132.5698666666667, 3132.5727, 3132.5736333333334, 3132.5736666666667, 3132.5738333333334, 3132.5745666666667, 3132.5772666666667, 3132.58, 3132.5811, 3132.5812, 3132.582933333333, 3132.5835333333334, 3132.584, 3132.5848666666666, 3132.5856]","[85, 16, 67, 212, 85, 216, 190, 63, 60, 67, 63, 223, 85, 196, 226, 67, 60, 85]","85,16,67,212,216,190,63,60,223,196,226","16,60,63,67,85,190,196,212,216,223,226"
3132.6928,3132.7004,3132.7128,3132.7004,4.044727802276611,20.0,"[3132.693366666667, 3132.6946666666668, 3132.6948666666667, 3132.6952333333334, 3132.6962, 3132.6966666666667, 3132.6984666666667, 3132.6989, 3132.6990333333333, 3132.6995333333334, 3132.7019333333333, 3132.7036333333335, 3132.7042, 3132.706833333333, 3132.7074333333335, 3132.709, 3132.709533333333, 3132.710866666667]","[16, 63, 85, 60, 16, 67, 67, 85, 16, 60, 63, 60, 16, 85, 67, 16, 60, 63]","16,63,85,60,67","16,60,63,67,85"
3136.394,3136.4156,3136.4212,3136.4156,3.57403302192688,27.2,"[3136.3942666666667, 3136.3953333333334, 3136.3957333333333, 3136.3978666666667, 3136.3984, 3136.4013333333332, 3136.4024666666664, 3136.4037333333335, 3136.4038333333333, 3136.4058, 3136.406233333333, 3136.407366666667, 3136.4077, 3136.4086666666667, 3136.4094333333333, 3136.4114666666665, 3136.4115666666667, 3136.4119666666666, 3136.4121, 3136.4121666666665, 3136.4126333333334, 3136.4136, 3136.4138, 3136.4194333333335, 3136.4194666666667, 3136.4199, 3136.4203666666667, 3136.4209, 3136.4211]","[67, 60, 16, 85, 98, 67, 16, 85, 60, 67, 16, 215, 85, 67, 60, 16, 63, 67, 196, 85, 233, 228, 212, 16, 170, 85, 196, 173, 67]","67,60,16,85,98,215,63,196,233,228,212,170,173","16,60,63,67,85,98,170,173,196,212,215,228,233"
3137.9176,3137.9276,3137.9392,3137.9276,6.73667573928833,21.6,"[3137.9178666666667, 3137.918166666667, 3137.9183333333335, 3137.9193, 3137.919766666667, 3137.9207666666666, 3137.921766666667, 3137.9225333333334, 3137.925333333333, 3137.9263333333333, 3137.927, 3137.9270666666666, 3137.9272666666666, 3137.9279333333334, 3137.9283333333333, 3137.9307, 3137.9319, 3137.933233333333, 3137.9338666666667, 3137.934566666667, 3137.9351666666666, 3137.9354, 3137.9356, 3137.9382333333333]","[16, 85, 227, 67, 63, 60, 85, 67, 16, 196, 67, 226, 85, 60, 233, 16, 67, 78, 16, 85, 63, 78, 60, 78]","16,85,227,67,63,60,196,226,233,78","16,60,63,67,78,85,196,226,227,233"
3138.424,3138.428,3138.4444,3138.428,2.661327123641968,20.4,"[3138.4254, 3138.4268333333334, 3138.427, 3138.4270666666666, 3138.4273333333335, 3138.4277, 3138.427833333333, 3138.4314, 3138.4317666666666, 3138.4319, 3138.432533333333, 3138.4334, 3138.4356, 3138.4357666666665, 3138.4361, 3138.436133333333, 3138.4381333333336, 3138.4394, 3138.4396, 3138.439766666667, 3138.4440666666665]","[94, 85, 67, 222, 16, 63, 233, 222, 85, 67, 196, 16, 222, 233, 85, 63, 67, 60, 94, 16, 85]","94,85,67,222,16,63,233,196,60","16,60,63,67,85,94,196,222,233"
